face frumos
scoate împlânta
isprăvi porni
agitație calm
credibil incredibil
cap revers
grupa separa
inodor mirositor
premergător următor
bucurie părere
grație neîndemânare
abține sevi
neînsărcinată însărcinată
adeveri infirma
așeza deranja
considerație desconsiderare
aprovizionare căutare
nimic nevoie
descurcăreț ingenuu
1 culoar
abstinent alcoolic
dezvolta prescurta
neînfricare temere
loc umplere
efectiv ineficace
eficace ineficient
cu merge
preceda urma
avar nobil
dezvoltare stagnare
deschis indirect
determinant secundar
dezinfecta contamina
desensibiliza sensibiliza
brunet blond
originar păcat
lipsă sanitate
lua uita
bogăție nevoie
fermitate nestatornicie
neutru negativ
stat sclavagist
culca fi
împodobi lejer
agitație rece
grăsime gras
multiplica împărți
descreștere suire
ghinionist învingător
agil domol
agitație sânge
iute încetinel
prieten vrăjmaș
epuiza împrospăta
nemulțumire satisfacție
puțin puternic
îngădui împiedica
preda ține
hipertiroidie hipotiroidie
comparabil incomparabil
limpezime opacitate
multiculturalism naționalism
alcaliniza acidifica
primejdios sigur
cu mărgini
băgare imprudență
lărgime strânsoare
atent trece
disocia o
despărți împreuna
dobândi scăpa
fățărnicie veridicitate
compromite onora
modest pretențios
întinde îndoi
reduce vârî
invalida stabili
clar imprecis
capital mică
concedia încadra
proscrie repatria
constant schimbător
curma continua
demonstra infirma
legal nelegal
grupa împărți
fața spate
implicită vânzare
proastă veselie
periculos sigur
rău respectabil
răceală răspuns
concurență cooperație
anabolism dezasimilație
comun individual
contrazice de
arăta pieri
destoinicie inabilitate
interesant neinteresant
chirurgie majoră
absolvi acuza
descreștere urcat
bloca debloca
neachitare plată
clandestin legal
agil încetinel
caracter obscuritate
semeție teamă
inconsecvență stabilitate
cu plat
lucru liber
neastâmpăr sânge
cooperare întrecere
coborâș suiș
indisciplină obediență
anomalie normalitate
maxim minimal
drept pe
expert enciclopedist
call opțiune
elibera obstrucționa
cuvioșie necredință
nerafinat rafinat
asambla descompune
apropiere depărtare
impolitețe politețe
activitate neactivitate
temere încumetare
reține acționa
amplifica micșora
curma conserva
lungi scurta
nefericit vesel
compatibil inconsistent
concepție concept
sărăcăcios scump
cu succes
adâncime profunzime
fi fața
arăta asfinți
astupa destupa
cere pierde
infirma proba
bont finețe
discreție deschidere
inexistent prezent
mijloc sărman
deschide închide
insomnie moleșeală
dinainte gura
neonorabil onorabil
cu neglija
seca umecta
angro amănuntul
dinamism inerție
echitabil injust
cerință furnizare
brut diez
achitare verdict
distractiv neplăcut
dezumaniza umaniza
alina irita
amonte aval
imprudență seamă
senin înnorat
miez întârziat
anabolism dezasimilare
bărbat nevastă
debloca îngheța
potoli înflăcăra
diminua intensifica
baza avea
grațios nepriceput
androgin bărbătesc
auroră asfințit
întări înmuia
ediție manual
compatibil incompatibil
corect necorect
imprecizie limpezime
neobservabil ostentativ
luciditate sminteală
răsunet tăcere
neprietenos prietenesc
cuviincios licențios
continuă consoană
conserva irosi
continua curma
acceptabil nepermis
considerație ireverență
critic necritic
agale rapid
veni o
ireverențios reverențios
ridica scoborî
de necuviincios
diateză pasiv
lega slobozi
nenecesar necesar
inexistență prezență
lărgi lua
debut sfârșit
irațional rațional
rapid încetinel
mică măreție
accentuat neaccentuat
leal neonest
alcătuit exclude
impuritate puritate
estetic neatrăgător
avea nu
atrofiat hipertrofiat
amănunți scurta
curaj teamă
coaliza despărți
aduna răspândi
nevinovăție vinovăție
alăpta cu
boală sănătate
ușurătate încredere
serios vederea
adevăr neadevăr
comercială manual
declina fi
neurotică psihotică
dezmembra unifica
bot dos
avansa regresa
insolubilitate solubilitate
rătăci regăsi
dreptate inexactitate
impotență trecere
cunoaște ignora
fracționar întreg
părăsi perpetua
plecare ponta
opri vărsa
diferenția integra
clădi pământul
accesibilitate inaccesibilitate
încolo încoace
determinant minor
potoli înteți
bătrân tânăr
fi pierde
mărunțiș trebuință
curăți murdări
acuzare apărare
capăt început
dop destupa
întrema înrăutăți
special întâmplător
sfârșit începere
aproba în
abstinent băutor
colțuros rotunjit
avea aproba
hipotensiune tensiune
irita liniști
bonitate insolvență
descurajator voios
dificil ușor
dureros nedureros
desfunda înfunda
prietenie răceală
igienic neigienic
bogat clasă
jos ridica
cumula despărți
modest provocator
gratitudine nerecunoștință
intenționat voie
adecvat inadecvat
activant inhibitor
coaliție neangajare
sensibilitate tembelism
asigura îngrijora
depărtare împrejurime
seriozitate vederea
expira retrimite
mulțumitor nesatisfăcător
credință disperare
arăta dispărea
impas prosperitate
dispus descurajant
liber tăcea
consoană vocală
leal necinstit
impardonabil pardonabil
laicitate sanctitate
abundență sărăcie
rea vreme
afluent ramură
ineficace operațional
analfabet știutor
neîncredere încredere
lua omite
corpusculară undelor
ilicit licit
instabil susținut
renunța revendica
flămânzi fi
hotărâre nesiguranță
lașitate tărie
extraordinar obișnuit
scârbi bucura
cu gros
scuti îndeplini
apăra urmări
moale tare
dezbrăca înveșmânta
proaspăt vechi
pierde păstra
liber muți
alianță neangajare
frică îndrăzneală
închide deschide
actual trecut
microbian steril
menține beneficia
amănuntul vânzare
pricepere stupiditate
disensiune înțelegere
tihnit îngrijorat
dușmănie dragoste
cădea examenul
activ odihni
catod pol
disciplină indisciplină
descuia închide
micșora înmulți
centralitate marginalitate
dezamorsa siguranță
faună floră
mascul parte
deferență ireverență
deplinătate incompletitudine
bucurie rău
include îndepărta
altă aproba
propriu substantiv
profunzime superficialitate
anima paraliza
evident indistincție
depresie exaltare
drumul întări
lucrătoare zilei
zi zilei
cinstire necinste
acri îndulci
dinspre din
respingere recunoaștere
dezbinare unire
merge scula
dormi pe
deplasa staționa
angro bucata
neștiință popularitate
mică mare
reactor rapid
desconsidera peria
emoționant emoție
cu lua
chel hirsut
deprecia urca
mișcat neafectat
angaja desface
coaliza împărți
ridica rămâne
carenate nezburătoare
lărgire îngustare
domol rapid
hotărât neclar
cutezanță teamă
ilicit legal
aprins mort
abduce ghemui
conteni păstra
nonconformism uniformitate
descurcăreț inocent
cu nesăbuit
profund superficial
conduce deruta
naiv prevăzător
de impasibilitate
pericol securitate
zilei zi
crestat drept
greutate slăbi
concurență cooperare
anestru căldură
inconvenient superioritate
defavoriza favoriza
continuitate discontinuitate
credincios infidel
iertător neiertător
ameliorare regres
relaxat tensionat
disperare speranță
evoluție involuție
public în
biruință înfrângere
regină rege
molatic necruțător
seca înmuia
aboli stabili
cuprinde exclude
subestima supraevalua
nerezonabil temperat
corect centură
centură curat
dințat drept
emotivă stoic
dezordine rost
ascuțit bont
neputință probabilitate
fecund infertil
dezumfla umfla
sine încredere
necunoaștere popularitate
aproba refuza
câștigător păgubos
ascensiune descreștere
deprecia crește
instabil stabil
monarh suverană
exotermic endoterm
măreție înălțime
elibera înfige
ager încet
de declina
câștigător pierzător
supraestima subestima
gravitație respingere
cunoscut necunoscut
avansa retrage
amplifica bagateliza
aboli propune
frânare iuțire
bărbăție timiditate
retrograda ridica
caracteristic necaracteristic
navă submersibil
nereușit succes
cu trece
de economie
cu jenat
cu nerăbdător
bune ireverență
primejdie securitate
ruptură raportare
de lealitate
amănuntul vinde
scoate înfige
mică majuscul
fermitate șovăială
insensibil senzorial
anula valida
tardiv timpuriu
bucura îndura
infirma întări
ameliora înăspri
cu voie
descreștere suit
neizbutit succes
avea lipsi
antipatic agreabil
scădea spori
bunăstare sărăcie
întovărăși diviza
amplifica liniști
imperfecțiune perfecțiune
mărinimos meschin
capital minuscul
cald rezervat
generos meschin
nepăsător precaut
îndepărta pe
nefamiliar știut
puternic puțin
în îndeosebi
electrolitică element
minim maximal
echivoc precis
insensibil sensibil
corect nedrept
face zidi
dezordine rânduială
de nereușit
uni desface
acoperi descoperi
ostil prieten
farmec neplăcere
inoportun oportun
de placiditate
liniștit tulburat
pierde parte
asocia disjunge
înceta începe
desconsiderare stimă
imaturitate maturitate
investițiile vârî
imaginație inventiv
derivata integra
dezlega lanțuri
aprecia devaloriza
dispus demoralizator
supraevalua subevalua
înfunda desfunda
incredulitate siguranță
înrăutăți pe
expres neintenționat
deconecta uni
isteț prost
entuziasm neentuziast
amănunți prescurta
bunătate dezagreabil
alternativ continuu
câștigător ghinionist
insolvent solvabil
atent neglija
dinamic letargic
fără rimat
capitula ține
înapoi împinge
restul zi
indecență modestie
iunie iarnă
meticulozitate nepăsare
pe păstra
inamic prieten
ager domol
cea puțin
drept strâmb
înadins întâmplător
cu imprudent
material nesubstanțial
invizibil vizibil
drept nejust
perpetua înceta
îndoi întinde
conectare deconectare
concentra dezarma
orândui răvăși
coborî urca
deconecta tensiona
ascuțit dreptunghic
incapabil priceput
formă strâmb
apus zori
considerație de
divizat unit
deranja rândui
eficacitate ineficacitate
atracție forță
slăbi înmărmuri
lumina înnegura
endogamie exogamie
îndepărta fi
maxim minim
call put
baza nu
îndepărta îngloba
demobiliza mobiliza
tensiona deconecta
de nevoiaș
modest mândru
coaliza divide
cuvenit nepotrivit
grăbire încetinire
disocia lega
descurajant voios
mulțumire nemulțumire
slăbiciune trecere
prostie înțelepciune
înregimenta libera
gura trăncăni
inconștiență meticulozitate
brun bălai
cinstit sub
implicită opțiune
minți realitate
slei împrospăta
de sărac
de încheiere
deschide închide
iscusință nepricepere
ilegalitate legalitate
da stinge
ploios uscat
searbăd vioi
despărțire unitate
fi nesocoti
asocia divide
copt necopt
permite preîntâmpina
central mărginaș
dezumfla umple
dreptate inechitate
retrage înainte
nevolatil volatil
neîmbrăcat înveșmântat
angaja detașa
intern zbor
iarnă iunie
evolua retrograda
scoborî sui
umecta usca
dispoziție veselie
civil legislație
jos supra
preveni îngădui
donator zgârcit
fi jos
demoralizant dispus
neintenționat special
calm frământare
blond oacheș
varia însemna
majoritate minorat
dos față
activă alianță
striga vorbi
teorie undelor
concordant inconsistent
blond brunet
acceptabil inacceptabil
fără plângăcios
invulnerabil vulnerabil
placiditate reacție
moderat moderație
înrăutăți îmbunătăți
imperfecțiune sublim
considerație desconsiderație
îndrepta înrăutăți
domesticit sălbatic
alene vioi
suprafață submersibil
suma scădea
blestemat binecuvântat
empiric teoretic
altă consimți
nevrednic valoros
eterogen omogen
nenorocos învingător
egalitate inegalitate
dezagrega integra
nevoie nimic
șopti țipa
absolut parțial
mult puțin
pierde pretinde
delicatețe lipsă
nepregătit priceput
injust just
însoți secționa
necinstit onest
nemulțumi pe
acolo aici
lipsă nădejde
jos întins
contrazice fi
apărea dispărea
de stator
dreptunghic triunghi
deosebit înrudit
dezlega încheia
nepăsare răspuns
competent neinformat
angro vânzare
fiasco succes
găti lejer
nonexistență prezență
nerelevant relevant
amplu modest
minuscul mare
nerăbdător îndurător
insignifiant important
creștere reducere
autorizat neautorizat
construi dărâma
serală zi
credul incredul
unit împărțit
voma împiedica
creditor datornic
confort disconfort
certitudine incredulitate
abil inocent
schimba păstra
imoral moral
mare minuscul
emotivitate impasibilitate
dezumflare umflare
convențional neconvențional
cutezanță timiditate
parțial întreg
activ inactiv
descreștere suiș
impotent potent
neștiință renume
greș reuși
lipsă tact
lenevi lucra
duhovnicească profan
opri porni
nevătămător nociv
direct ocolit
grosime subțirime
secundar în
seca împrospăta
descuraja încuraja
statut înalt
fixitate mobilitate
plictisitor vioi
hotărât nedecis
moderație potrivit
discontinuu necontenit
fără umoristic
deschis dezavua
capacitate răceală
aduce subevalua
sfială îndrăzneală
începere încheiere
dată indecis
plăpând solid
înainte îndărăt
trage încuia
falsitate veracitate
neprietenos tovărășesc
onest strâmb
de solstițiu
de școală
colateral drept
înregistra șterge
rapid termal
minte mărginire
lua pierde
conductor izolant
nerafinat procesat
coaliza separa
completitudine incompletitudine
nesigur sine
anihila valida
lipsă prematur
neutru pozitiv
încheiere început
frică înfricoșat
rușinos viteaz
interior în
central marginal
insomnie somnolență
desconsidera măguli
dârzenie frică
amplifica reduce
miez târziu
chibzuit necugetat
interzice încuviința
infern rai
de sfârșit
micșora spori
zi școală
alăpta biberonul
slăbiciune valoare
înzdrăveni degenera
dinamiza seda
sui scoborî
netemător temător
bun uituc
jos sălta
nesiguranță siguranță
crește descreștere
înregimenta la
zori întârzia
deznaționalizare etatizare
ține dinainte
coborâre suiș
dreptate nedreptate
bandă rapid
dura dărâma
grijă imprudent
neegal regulat
bine deprimant
ilegal legal
desluși obscura
îndrepta îndoi
frecvență joasă
de neatenție
curat contaminat
pleșuv păros
evaziune plătire
considerație necuviință
atenție imprudent
clădi face
pastelat închis
inobservabil ostentativ
efector receptor
suveran suverană
eficiență ineficiență
subevalua supraaprecia
blagoslovi damna
impredictibil previzibil
imprevizibil predictibil
cardinal ordinal
neortodox ortodox
dușman susținător
construcție gramaticală
din păcate
conteni continua
iuți încetini
fără intenționat
dragoste dușmănie
de implicită
instabilitate stabilitate
autentic contrafăcut
neputință înrâurire
necomercial negustoresc
negustoresc necomercial
deflație regres
binefacere răutate
blestema binecuvânta
apoapsis de
controversat necontroversat
majoritar minoritar
continua părăsi
notorietate necunoaștere
distractiv dezagreabil
extraordinar ordinar
fi ședea
conecta decupla
agita calma
dispariție naștere
amplu sărac
rău îndreptățire
face varia
curăța mânji
activă diateza
așeza ridica
delicat solid
fire o
economie piață
sta spatele
cetățean străin
dulce saramură
impasibilitate reacție
aprobare refuz
final plecare
zăvorul încuia
majuscul mică
da închide
uscăciune umiditate
exactitudine inexactitate
admirație desconsiderație
civilă minorat
ambiguu neechivoc
finitudine nesfârșit
confirmare contestație
heterosexual homosexual
juvenilă matur
preda rezistență
destabiliza stabiliza
scoborî urca
perfidie veridicitate
inamic susținător
dezechilibrat echilibrat
neasemănare similaritate
lucra lenevi
hotărâre nehotărâre
desface prinde
bunătate nesuferit
ivi pieri
cu prostesc
apărare acuzare
desface înșuruba
prematur punctualitate
competent incapabil
încălzi răcori
înrăutăți înzdrăveni
celulă voltaică
artificialitate naturalețe
striga încet
impredictibil predictibil
centripetă forță
liber stat
descuia încuia
descărcat încărcare
câștiga rata
drept inechitabil
usca umezi
amabilitate rea-voință
glorie infamie
cinstire respect
unifica dezmembra
justiție nedreptate
dezorganiza rândui
foame plin
eficace infructuos
pierde participa
formă slut
confortabil inconfortabil
capăt începe
principal subordonat
congruență nepotrivire
conta încredere
focului rai
bălai oacheș
delicatețe indelicatețe
inconștiență responsabilitate
dezetatizare naționalizare
aprobare oprobriu
coaliție nealiniere
premerge veni
nepriceput îndemânatic
răci încălzi
familiar nefamiliar
dispune împovăra
apariție dispariție
amărăciune fericire
prezent rata
amestec nonintervenție
forte punct
diminua înteți
timid încrezător
naiv prudent
just pe
progresa regresa
nociv nevătămător
delicat nepriceput
nesemnificativ semnificativ
descurca încurca
naștere sfârșit
supraaprecia subevalua
în întins
neplată plată
decupla uni
merge pe
degenerare dezvoltare
grijă știință
alienare luciditate
convingător neconvingător
alene repede
ridica apune
nepot nepoată
dizloca vârî
pozitivă sarcină
supraaprecia subaprecia
opri voma
descurajator vesel
pierde prezent
deficit profit
emersiune imersiune
asambla desface
destinde tensiona
soție soț
arăta apune
refuza îngădui
hipertiroidism hipotiroidie
coborâre urcuș
asincronism sincronicitate
involuntar înadins
drept stânga
cu netulburat
imposibilitate virtualitate
fi foame
bună dispoziție
fierbinte rece
fi scăpa
flexa îndrepta
belșug nevoie
nepriceput suav
aduna scădea
năzui pică
nedrept pe
celulă pilă
minte omite
grăsan slăbănog
ridica jos
nobil zgârcit
ban față
exterior intern
detalia prescurta
regresa contura
aproape depărtat
cele mic
alătura separa
contraindica recomanda
îmbrăca aranja
îndărăt înainte
păros pleșuv
gura păstra
preveni permite
cordialitate țâfnă
nestatornicie stabilitate
ascunde vadă
culca pe
apărea pieri
cu știință
bont tăios
arcuit drept
încorda relaxa
dezlega încătușa
absolvi învinui
sfios viteaz
duritate moliciune
nechemat priceput
dinainte dinapoi
navă submarin
agil binișor
naștere sarcinii
frivolitate seriozitate
construi pământul
mai mic
decupla împreuna
distruge drege
firav solid
calificat necalificat
capitula rezistență
cutezător timid
experiență experimentat
cunoscut străin
crește reduce
față pajură
băiat fetiță
gazos lichid
ridicat scăzut
maniere necuviință
atonalitate tonalitate
dezlega înlănțui
bravură spaimă
obtura desfunda
armonios diform
lat îngust
accelera frâna
continuare întrerupere
atracție hidoșenie
de tact
anume accidental
deflație descreștere
usca umecta
destrăma încâlci
sensibil încâlcit
perpetua întrerupe
actual originar
include înlătura
binevoitor răuvoitor
nefavorabil prielnic
stare stricăciune
operație sincronă
întrema degenera
întâlni diverge
inechitate justiție
decădere dezvoltare
căldură frig
ascuți domoli
adecvare necorespunzător
bine necaz
dulce sărată
păstra pierde
comporta prostii
înapoi înainte
aspira pică
cuprinde da
deosebit inseparabil
bisericească profan
adaos decrement
fără înfricoșat
neplăcut plăcut
neacceptare recunoaștere
generalitate notă
limpede neclar
naștere pierderea
minimum maximum
lumină întuneric
infamie prestigiu
așeza răvăși
imperfecțiune valoare
esențial neesențial
îmbunătăți înrăutăți
argument pro
cinsti nesocoti
diferenția face
sătura foame
apune răsări
neclintit în
descâlci încurca
delicatețe meschinărie
invizibilitate vizibilitate
septic steril
eșec realizare
lipsă speranță
avantajos neavantajos
compresie decompresiune
start încheiere
sclavagist stat
grijă nepăsare
ingratitudine recunoștință
proastă voioșie
ezitare hotărâre
neastâmpărat serios
incoruptibil necinstit
subestima în
invizibil izbitor
manual spăla
alene agil
spatele sta
in judecată
mândrie umilință
capăt plecare
dichisi îmbrăca
cu en
subestima supraestima
drept zimțat
nepermis permisiv
asocia disocia
ignora ști
corect imoral
ambulator internat
agita domoli
asocia diviza
degradare promovare
trezi adormi
laș neînfricat
bine neajuns
anabolism catabolism
opțional obligatoriu
uscat umed
agreabil antipatic
liniște sunet
exterior spre
apăsa bine
scoate vârî
artifact natural
fermenta îndulci
avea consimți
nesănătos salutar
încinge răci
falsifica rectifica
activ mort
legii legaliza
grosolănie maniere
investițiile investi
bunăstare necaz
avantaj penalizare
ingerință neintervenție
cel cei
conducător următor
curma menține
aproape îndepărtat
dăunător nevătămător
clar nearticulat
hipertiroidie hipotiroidism
analfabetism carte
veni face
chibzuială neprevedere
adaptabilitate inadaptabilitate
acuratețe inexactitate
leal necorect
ateism cucernicie
aranja lejer
naște sfârși
binevoitor vrăjmaș
timp încheiere
striga șușoti
activă pasiv
clarifica obscura
izbândă înfrângere
inflexibil mlădios
impresionat neafectat
retrograda înălța
însenina înnora
neputință putere
bidimensional unidimensional
aranja răvăși
de involuntar
gras slab
sensibil încurcat
rece zbucium
des rar
precedent următor
cumineca excomunica
parțial total
agitat liniștit
nemulțumi satisface
milostenie neîndurare
adecvat necorespunzător
disjunge lega
bunăvoință neplăcut
drept la
corect pe
asfințit zori
imprevizibil previzibil
avânt stăvili
deschide întuneca
strâmt întins
corp proporțional
decisiv indecis
urgentare încetinire
omite seama
întrema deteriora
față fund
intervenție nonintervenție
afla pierde
frică încumetare
distracție interes
cinstire lipsă
cu nesimțitor
ambiguu neambiguu
accidental dinadins
civil internațională
neoriginal original
disconfort tihnă
menține schimba
aval amonte
descâlci încâlci
flexor mușchi
preîntâmpina permite
luciditate nebunie
mărime micime
încălzi răci
antipatic simpatic
mulțumit nesatisfăcut
fund față
în înainte
justificare rău
celulă electrolitică
chibzuit nebunesc
ajuta dezavantaja
iute prost
incert neîndoielnic
dichisi haine
apăra asalta
subevalua supraevalua
apoapsis periapsis
dinspre est
sta spate
investi reduce
ține ciripi
mamă taică
displăcea plăcea
credibil de
toi tardiv
naște pieri
asemănător deosebit
avers ban
dispărea naște
bucura mâhni
acoperit pe
dezamorsa o
pica reuși
comedie tragedie
diversifica specializa
prima rapid
costisitor ieftin
prim-plan subestima
nesociabil sociabil
angro cu
detalia tăia
lua vederea
fidelitate infidelitate
ascultare nesupunere
grabă grabnic
devia fi
cu rușinat
subaprecia supraaprecia
accelerare frânare
indice superior
plecare sfârșit
lipsă prețuire
carenate pasăre
ridica coborî
urî îndrăgi
culcare scula
restrânge spori
intra ieși
timid viteaz
cu clădi
de opțiune
matca rai
păstra trăncăni
detesta iubi
gramaticală greșeală
contra pro
famat respectabil
neglija trata
înveseli împovăra
cunoaște fi
capital literă
blestema blagoslovi
paraliza slăbi
acoperit față
minor major
construcție de
corect urât
angrena separa
aranja purta
fin nedeslușit
binecuvântare damna
grăbit urmă
acapnie hipercarbie
binedispune văita
cu nesocotit
găti purta
ud uscat
angajator angajat
munci trândăvi
armonie dezacord
greutate mică
meritoriu nedemn
desfătare neplăcere
solemnitate ușurătate
neonorabil onoruri
dispus descurajator
securitate scepticism
intoleranță toleranță
mintală sănătate
dărâma dura
dezlipi lipi
claritate opacitate
cler laicitate
păstra turna
adecvare inadecvare
drumul întrerupe
buruiană cultivabilă
plânge râde
dezaproba de
de solstițiul
imparicopitat paricopitat
pozitiv personaj
potrivnicie prietenie
neted rugos
atomism holistă
demență luciditate
nedeslușit sensibil
câștig cheltuială
avânt stăpâni
continua întrerupe
de venial
cu neonorabil
deștepta adormi
neglijent ordonat
duce naște
intern internațional
mult ușor
merge sta
irecognoscibil recognoscibil
dezechilibra echilibra
blestema binecuvântare
ameliorare decadență
băiat fetică
face război
angaja elibera
larg strâmt
continua întrerupe
ține turna
gaz plat
împodobi îmbrăca
desfăta nemulțumi
sarcină încărcătură
curaj timiditate
în încredere
asimilație catabolism
dormi fi
de submersibil
angajare șomaj
dezonorabil onorabil
mizerie prosperitate
relaxare întărire
ager nedeslușit
maree mareea
târziu înainte
accepta refuza
afara legaliza
nesocotit înțelepciune
scula rămâne
lipsi îmbogăți
stăpâni stimula
reabilita înlătura
fine început
da urca
prosperitate sărăcie
pe parte
rotunjit unghiular
deschidere discreție
infirma stabili
meteahnă valoare
indelicatețe tact
diferit similar
notă pierdere
lua lărgi
font proporțional
curaj frică
stare sănătate
slăbiciune vigoare
cel puțin
agreabilitate proastă
asincronie sincronie
inofensiv nociv
frumos urât
complet parțial
hipotiroidism hipertiroidism
face ridica
curățenie murdărie
borțoasă neînsărcinată
slăbi încremeni
cei cel
de insuficient
neînfricare sfială
neîncredere încrezător
expira inspira
cel mic
ambala despacheta
vorbi țipa
ineficient productiv
preda rezista
cu înălța
greșită noțiune
inferior înalt
consistent moale
nesigur încredere
minimaliza maximiza
opri încuviința
determinant neînsemnat
înrăutăți picioare
izbitor nevăzut
bătrân tinerime
infamie reputație
profit pierdere
timpuriu târziu
endotermic exoterm
curent viitor
fără modestie
aristocrat doamnă
frumos prostii
vărsa împiedica
emoționat neafectat
neputință potențialitate
centrifugă centripetă
cu în
activator inhibitor
câștiga pierde
echivoc neambiguu
văduvi îmbogăți
hipertensiune hipotensiune
minuscul majuscul
neputință potențial
conecta priză
urma opri
asemănare diferență
deconecta încorda
drept neechitabil
caracter indistincție
înviora paraliza
admite dezminți
animal neînsuflețit
acceptabil inadmisibil
dezavua deschis
teorie teoria
mare strâmt
da înăbuși
coborî sălta
