Parcul_Național_din_Munții_Stâncoși Stâncoși
bătălia_de_la_Fredericksburg de
fetie feciorie
ieșind_al_țărmului limbă
muzică_afro-americană muzică
conținut procent
Deștertul Deștertul_Gila
ceas_vânătoresc ceas
așterne picta
ciorbă pui
asemui asemăna
modul modul_indicativ
Coccyzus genus
mândrie satisfacție
grup_operativ operativ
arcadă de
disc numere
bătălia bătălia_de_la_Marna
naturii științele
curry sos
sală_de_clasă sală
decorație podoabă
fi_funcționar funcționar
aeroembolism aero-embolism
spectru_radio spectru
[se] strădui [se] căzni
banda_întâi prima
vede închide_ochii
Melia neem
cu datare_cu_carbon_radioactiv
Coreea_de_Sud Sud
codoș pește
funcție_gaussiană gaussiană
bere_blondă bere
cugetare reflexie
buccinator mușchi_bucinator
băț țeapăn
taxă_pe_valoare_adăugată taxă
reprezenta simboliza
pe_din_dos pe
Arthur Jacob
uimitor uimitor_de
de greu_de_stăpânit
Muriel_Sarah_Spark Muriel
acoperi acoperi_cu_stuc
filetat mașină_de_filetat
face_una_cu_pământul una
pământ teren
catolic papa
pictural plastic
de mormânt
A1 vitamina
bătălia_de_la_Chickamauga bătălia
alianță legătură
lat lat_de_palmă
meteo stație_meteorologică
belșiță indica
Ciobănesc Mioritic
Xestobium rufovillosum
lua_mită șpagă
cuib sălaș
Universitarea_Cornell Universitarea
Doctor_în_științe în
boală boală_autozomală_regresivă
[o] șterge [-și] lua_tălpășița
magazin specializat
morteză_orizontală orizontală
intoxicare_cu_monoxid_de_carbon monoxid
electric trenuleț
de densitate_de_flux_magnetic
conjura urzi
metoda_oarbă metoda
nehotărâre îndoială
cereale etanol
organ vital
concluzie_eronată opinie
linie_despărțitoare linie_de_demarcație
animator însuflețitor
Național Parcul
Mt._Ranier Mount_Ranier
jeluială tânguire
împotriva_vântului împotriva
coabitare conviețuire
Sfântul_Vasilie Sfântul
bloc_atrioventricular bloc
magnetic moment_de_dipol_magnetic
astronomic solar
aflare descoperire
bord încărca_la_bord
istovi secătui
sistem sistem_de_intercomunicație
simultan în
congestionat iritat
picurat picurare
schimonositură schimonoseală
reproducere_sonoră reproducere
[se] cumineca [se] împărtăși
coș_de_gunoi pubelă
[se] face una
spaniel_pitic_continental spaniel
curent pană_de_curent
rezultat repercusiune
multiplă regresie_multiplă
sparge_val val
artificialitate afectare
bec lampă_stradală
arunca_claie_peste_grămadă peste
freca_menta tăia
prinde_din_zbor zbor
adăuga_la_sfârșit sfârșit
Cornelius Felix
Societatea_Internațională_pentru_Conștiința_de_Krsna pentru
careva unul
Crezul_de_la_Niceea Credinței
luptă_armată luptă
genus stuf
cu salată_cu_paste
muzică_vocală vocală
Christian Karl
melița trăncăni
aleatoare simplă
lemn_de_tec lemn
de morți
cap cap_cilidric
nespecialist profan
yerba yerba_mate
băga_în_priză în
a explozive
hidroxil radical_hidroxil
Universitatea Universitatea_Duke
linie sosire
sistem sistem_audio
curabilitate vindecare
Citrus sinensis
decizie rezoluție
cu cu_pedigriu
de de_contrabandă
Lactuca sativa
face_cavaler face
înota_câinește înota
boală_de_ficat boală
centimetru mililitru
automată procesare_automată_de_date
curățare izbăvire
neurom nevrom
haine purta_haine_lejere
de motor
bocet jelire
schimba_situația schimba
evidenția releva
lua trăncăni
răzbi răzbate
gardă strajă_de_noapte
cărămizi cuptor_de_ars_cărămidă
forma_o_spirală forma
festă face_o_farsă
spectacol_de_umbre spectacol
Islands Parcul_Național_Channel_Islands
dispoziție spirit
[se] înfuria [se] enerva
pește_spadă spadă
înaltă înaltă_trădare
eficacitate putere
barbar brutal
Tripleurospermum nemirositoare
Salix_babylonica salcie
pune_în_sicriu pune_în_coșciug
cap_de_berbec piatră_pentru_drumuri
Napoleon_I Napoleon_Bonaparte
închide_gura închide
balsam_de_buze de
greva greva_foamei
ceașcă ceașcă_de_cafea
cerere împrumut
maritimă putere_maritimă
fi_martor martor
Ozawa Seiji_Ozawa
densitate fluxului
bătălia_de_la_Little_Bighorn de
ochi umple
G forță_G
tărăgănat tărăgăna
tub_neural tub
strugurii_ursului uvaursi
galbenă limandă
posesor stăpân
debut pas
lovitură_cu_capul lovitură
comisiei membru_al_comisiei_de_validare_a_alegerilor
armonică progresie_armonică
austroneziene limbi_austroneziene
trimite_prin_mandat trimite
Râul_South_Platte South
alumină oxid
aortic anevrism
alfabet alfabet_fonetic
George Președintele
expune face
Encelia_farinosa farinosa
More Thomas_More
nebunie țicneală
face strajă
lin încet
tulburare_depresivă tulburare
standard_de_viață trai
pe plimbare_pe_jos
fimat vederi
aclimatizare adaptare
cleveteală ponegrire
operații_simultane paralele
Actele Actele_Apostolilor
Bolivia Republica
neregularitate neregularitate_geometrică
receptor receptor_adrenergic
cur popou
|se| scufunda |se| adânci
picior tachina
roată rezervă
fărădelege josnicie
[se] învârti [se] descurca
cu lua_în_serios
rem sentință
de lovitură_mortală
Dostoievski Feodor
băga priză
carbonifer_superior era
[se] băga [se] lua
Fluviul_Ind Indus
Crataegus_oxycantha gherghin
cartelă cartelă_de_droguri
venă_fibulară venă
Statelor președintele_SUA
acces de
virus_animal virus
Leonard_Constant_Lambert Leonard
Jr. Young
dansator erotic
frate_mai_mare mare
da_pe_spate lua_prin_surprindere
readapta reabilita
lampă neon
apelor a
calcul calcul_diferențial
de vârful
Franceză Riviera_Franceză
de vânzare_cu_preț_redus
limbaj_de_marcare marcare
epic poem
construi clădi
fatal nefericit
căldură_specifică specifică
argint_nichel argint
titlu_senzațional titlu
cameră_de_fimat cameră_de_luat_vederi
piatră rinichi
vopsea_acrilică vopsea
1 banda
băga colț
răzor strat
mijlocie ureche_mijlocie
ceas_rău rău
urs_grizzly urs
algă brună
odihnă_veșnică veșnică
[se] da_cu_bobul cu
faimos renumit
atmosferică presiune
nonius vernier
de treaptă_inferioară_de_viteză
de groapă
decorativ ornamental
opritoare piedică
Citrus_reticulata reticulata
complement_direct obiect
moment moment_prezent
muncă plasament
mireasa_lui_Dumnezeu maică
unitate unitate_avoirdupois
|se| încolăci |se| răsuci
Pieris_rapae fluture-de-varză
cu_abilitate cu_dexteritate
vacă vită
casă casa
Mercurialis brei_de_pădure
naufragiului rămășițele_naufragiului
potasiu salpetru
de unitate_de_măsură_a_radiației_electromagnetice
|se| sufoca |se| înăbuși
dansa_step step
lucru_manual onanie
Colorado_Springs Colorado
bancnotă_de_o_sută_de_dolari o
istovitor obositor
Andaman marble
operație operație_în_virgulă_mobilă
blocant beta_blocant
medic_specialist specialist
boală_psihică boală_mintală
caractere set_de_caractere
lovi_repetat lovi
butonieră surfileu
lemn_de_măr măr
confecții mașină_pentru_confecții_textile
pleca pleca_în_vacanță
curtezană cadână
schiurile săritură_cu_schiurile
cu pătimaș
cu substanțial
Sutekh Seteh
anxietate anxietate_de_castrare
muscat tămâios
scaun_cu_spetează scaun
dispensa scuti
albastru_oțel albastru
camion_cu_remorcă camion
Dean_Swift Swift
St._Louis St.
Eruca_sativa usturoiță
american informații
Ambrozie Sf_Ambrozie
concert caritabil
gogoașă născocire
de foc_de_artilerie
fârnâi fornăi
da_binețe da
curat străveziu
postament piedestal
da da_cu_gel
curent_de_adâncime curent
Wilkie_Collins William
picior peste
jigărit slăbănog
act_terorist act_de_terorism
dinspre din_vest
cusut sală_de_cusut
asprime răgușeală
[se] ghida [se] conduce
act_legislativ act
corespondent corespondent_de_presă
relief sculptural
Burrhus_Frederic_Skinner B._F._Skinner
sări_în_sus sus
afla descoperi
adunare unificare
făinoase paste_făinoase
de seism
face_o_croazieră o
al_nouălea a_noua
Canadian râul
de hemofilie_A
control_de_calitate de
lecție lecție_de_dans
Scorzonera_hispanica Scorzonera
pilulă_contraceptivă pilulă_anticoncepțională
furie turba_de_furie
etanol rafinat
[se] înzdrăveni picioare
cerebral cortex_cerebral
de-o la
evacua_prin_sifonare evacua
en gros
clubul_jucătorilor_cu_racheta cu
toporaș violă
arsură soare
câmp câmpie
masă masă_gravitațională
Telescopul_lui_Galileo lui
experiență lipsă
detector_de_metale detector
ca mâncare_ca_la_mama_acasă
ofițer_amiral ofițer
control zbor
face_mat face
ecou_radar radar
came distribuție
copil copil_vagabond
paranteză în
Coeficientul Coeficientul_lui_Kendall
depunere sedimentare
președintele_Abraham_Lincoln președintele
rezistență structură
repriză_de_aplauze ropot
față milă
orz sălbatic
frige prăji
brutal violent
de departament_de_cumpărări
descreștere_exponențială descreștere
legănare pendulare
Brigăzile_Qassam Brigăzile
avânt stimula
Chenopodium spanacul-ciobanilor
boltă_plantară boltă
compromite în
buhai_de_baltă_cu_burta_roșie buhai
Camellia_japonica camelie
[se] căca avea
date intrare
cizmă_de_cauciuc ciubotă
de tuse
irlandez șoim_irlandez
cere_informații cere
liră liră_libaneză
da urmări
subrogare subrogație
modifica preface
avion_militar avion_de_luptă
forța încorda
superior studiu
bilă_de_biliard de
capacul obturatorul
Camp Gillette
bătălia bătălia_de_la_Teutoburger_Wald
calcul_la_vezica_biliară piatră_la_vezica_biliară
bani_de_primit bani
col_uterin uterin
cadru_universitar cadru
organ organ_erectil
neurologie_clinică neurologie
diminua micșora
înainte_de_toate întâi_și_întâi
trimite transmite
incapabil necompetent
hertz pe
expediție expediție_de_vânătoare
Floriilor Florii
aortă_abdominală aortă
bătălia_de_la_Tertry de
flexură_sigmoidă sigmoidă
imagina închipui
Enterobius_vermicularis vermicularis
cameră depresurizare
concorda potrivi
kilociclu_pe_secundă secundă
capră_domestică capră
mahalagism mojicie
haină haină_de_blană
Heloderma_suspectum Heloderma
Johann Joachim
glie nevroglie
neconsecvență neconstanță
pușcă_automată_Browning pușcă
o înainta
conserva păstra
Macadamia_integrifolia alune_macadamia
diving scuba
Vaccinium_myrtillus afin
irațional impuls_irațional
Conștiința pentru
homosexualitate invertire
oxiur vermicularis
aură aureolă
cafea măsuță
legitimitate îndreptățire
roșu siena
nebunie smintire
de sac_de_bani
balustradă mână_curentă
acoperiș de
zonă_climatică zonă
verigă_lipsă verigă
birouri clădire
cal_sălbatic cal
crucea-voinicului iarba-sângelui
a inducției
diagonală matrice
limbă_indo-europeană limbă
Puerto_Rico Puerto
chiuretaj și
Camille Charles
acne vulgaris
fir plumb
agreabil distractiv
closet_public toaletă
Baron Broughton
clopotul_lui_Gauss funcție
făină pește
muță mami
Parcul Sequoia
bancnotă_de_o_sută_de_dolari sută
de forță_de_frecare
proba pune_în_evidență
adrenergic alfa
sustrage subtiliza
a regularizare
[se] încețoșa [se] împăienjeni
iarbă orbalț
da_naștere da
boul mămăruță
curma înceta
Biblia Biblia_Vulgata
registru_de_fum registru
unghi_drept unghi
trup_de_femeie trup
Războiul_de_treizeci_de_ani Războiul
relații_cu_publicul relații
comandant_de_aeronavă comandant
fruct fruct_nucifer_comestibil
avea avea_vedere_la
cantitate mărime
da unge
undă_acustică undă
Eliberare Frontul_pentru_Eliberare_Națională_din_Corsica
face_spumă spumă
bază fundație
reluctivitate specifică
cap_încoronat încoronat
puțin un_pic
persecuta prigoni
istovit secătuit
de fibră
evlavios preacredincios
însămânțare_artificială însămânțare
diatomit kieselgur
DHA docosahexaenoic
aceasta sub_aceasta
Dudley Dudley_Moore
obesum trandafirul_deșertului
analiză_chimică analiză_calitativă
aură nimb
berlineză gogoașă
Golful_James James
marca marca_lui_Plimsoll
Frumoase Master_în_Arte_Frumoase
consternare perplexitate
cu sanie
Independenței Texasului
unul într-altul
linia_lui_Plimsoll lui
organiza ordona
săptămânii în
lună lună_din_calendarul_revoluționar
bazele institui
conservare păstrare
naturale științe_naturale
post_de_televiziune tv
surfileu_de_butonieră surfileu
udare udat
anevrism anevrism_aortic
fără_modestie modestie
Vina_del_Mar del
minimum minimum_de_trai
trage trage_pe_roată
inacceptabil neadmisibil
cer cerească
picioarele pământ
domina sub
plantă_acvatică plantă_de_apă
Internațional Sistemul_Internațional_de_Unități
limbaj_nestratificat nestratificat
în_sus_și_în_jos încolo
aduce duce
cameră cameră_de_joacă
buclă de
taxă_de_instalare taxă
cu_grijă cu_atenție
Plata la
mijloc_de_locomoție mijloc
turbion volbură
sta sta_de_gardă
Arthur Artie
cameră_de_lucru cameră
ține_locul ține
schemă schemă_piramidală
vers_alb vers_liber
genul_asterid_dicot genul
pușcă pat
nitrat nitrat_de_argint
de reducere_de_taxe
sălta înălța
alinător calmant
barcă_cu_motor cu
ascuțită formă_ascuțită
Carlos_Fuentes Fuentes
tresărire tresăritură
[se] sparge_în_figuri în
de rachetă_de_squash
bară sta_pe_bară
Buteo_jamaicensis jamaicensis
bucate carte_de_bucate
Palestinei a
atac muchie_de_atac
asemănător asemenea
Alopex vulpe
cutezanță neînfricare
vânzare vânzare_în_absență
concentrat încordat
Bunker bătălia_de_la_Bunker_Hill
Nazaret din
chițcăială chițăit
platformă_continentală platformă
sluți urâți
inhibitor_de_reverstranscriptază reverstranscriptază
cep vrană
scheunat schelălăitură
bine_definit clar_conturat
acid_nitros acid
Tribonema genul_Tribonema
siguranță încredințare
cizmă_de_cowboy cizmă
pe_nepusă_masă prin_surprindere
Maria sfintei
gâză hexapod
lider_religios religios
cască-gură gură_căscată
bârfire cleveteală
galben verde
Bazinul Donețk
floare-galbenă osul-iepurelui
exila proscrie
duplicitar fariseic
[se] da arunca
Leonard Lambert
pe_de_altă_parte pe
vopsire vopsire_cu_pulverizator
birocrățeală birocratică
cimitir țintirim
plănuit planificat
accident alterație
pin_galben pin
milă sine
cumpărător_de_casă cumpărător
dominican peso
Jeremy Jeremy_Bentham
schimbare schimbare_de_ulei
cu firmă
claie grămadă
dintr-o_clipă_în_alta în
autor creator
bilă_de_cristal de
canal_radicular canal
mareea moartă
adiere adiere_ușoară
ordonanță ofițer
interstelar spațiu_interstelar
Ribes_nigrum negru
măsuri măsuri_de_prevenire
fără fără_grijă
clac face
dreapta lua_la_Sine
anteriu sutană
finanța financiar
piatră piatră_la_vezica_biliară
coptură puroi
gustativă proprietate
legislator legiuitor
metamorfozare metamorfoză
Economic ECOSOC
da face_praf
mare spre
lua lua_în_balon
parc safari
Goful_Galveston Galveston
rula realiza
striga vesti
înzdrăvenire însănătoșire
inflamație tumefiere
hidraulică roată
iar nou
de lovitură_de_începere
sferă sector
țară țară_balcanică
acid hidrogen
absolutism despotism
curățare păcate
gheenă hades
fi_purtat purtat
judecată_din_oficiu judecată
probabilitate posibilitate
[se] întoarce fața
ciucure canaf
amplu cuprinzător
miezul miezul_nopții
generală încăierare
ladă_de_zestre ladă
grade schimbare_de_180_de_grade
arhitectură calculatoarelor
sân sânul
|se| propti |se| sprijini
la_modă la
raport raport_lățime-înălțime
echipament_electronic echipament
Juniperus_sabina de
controlul controlul_nașterilor
familia_crucifere familia
foc pune_foc
gâtuire strangulare
derivată întâi
copil_din_flori din
fibră_textilă fibră
Polyodon_spathula spathula
sistem_zecimal zece
Universitatea Universitatea_Carnegie-Mellon
ferăstrău_de_mână ferăstrău
ca păr
ieșire vărsare
baltă cu
cu_fundul_în_sus sus
Cyrilla_racemiflora racemiflora
Lithospermum_caroliniense caroliniense
Queen ținutul_Queen_Maud
paraliza înlemni
[se] purta_ca_un_nebun ca
armată armie
câmp câmp_magnetic_solar
regim ține_cură
de vas
succesiune succesiune_temporală
nedefinită neprecizată
brulee de
companie_satelit subsidiară
limita_de_jos limita
[se] asocia [se] însoți
nădușeală pârjol
săra sare
augur de_bun_augur
bătaie_în_cuțite bătaie_cu_cuțitul
ninjutsu ninjitsu
cu saluta
rezistență stabilizare
bilet bilet_de_îmbarcare
plâns tânguire
[se] forma prinde
curat clar
cheag_de_sânge cheag
antenă antenă_de_radio
came de
nerv tract_optic
face_mat mat
tumult vacarm
[se] purta_ca_un_nebun [se] purta
bordaj filă
incheietură mâinii
mașină_de_răsucit mașină_de_filat
demonstra prezenta
forță vigoare
călătorie pachet
lustruit lustruire
anesteziant anestezic
eșuat neizbutit
Iordania Regatul_Hașemit_al_Iordaniei
pierde_legătura pierde
de distrugător
Cucurbita_maxima maxima
aspru crud
lovi lovi_cu_reverul
coloană_vertebrală șira_spinării
Andres Ramirez
piept_de_pasăre piept
Zona Zona_Antarctică
suflul suflu
drept drept_de_confidențialitate
factor factor_de_decizie
schițare zugrăvire
covor pune_covor
Evanghelia Matei
avea încrede
perforatum sunătoare
fruit_machine machine
GATT General
paie saltea
cameră la_cameră
a creștere_a_populației
consumare ingerare
război_psihologic războiul
Nevis and
plecare îndepărtare
spălat_de_vase vaselor
oareșicine oarecare
Râul Tennessee
criminal ucigaș
Sistemul Sistemul_Internațional
face festă
bătaie_la_tobe la
apărare refutație
iepuri vâna
persoană vârstă
atinge_ușor atinge
bătaie cuțite
cânta vioară
lege lege_ecleziastică
distribuție frecvență
docil plecat
încolo în_sus_și_în_jos
cardanică cardan
grașiță portulacă
farmaceutic preparat
autoritate argument
boboc_de_rață boboc
[se] ruina [se] dărăpăna
de distanță
Tsushima de
fi_comparabil putea_fi_pus_alături
familia_Labiatae familia_labiacee
în țintui
purice-de-nisip penetrans
hot hot-jazz
nerv nerv_eferent
percepe strânge
dorsală înotătoare_dorsală
slab stins
minune oală
bătălia_din_Marea_de_Coral bătălia
Genipa genul
cu lupta
abilitate cu_abilitate
os_pisiform pisiform
forță gravitație
lătrat lătrare
disc spațiu
mâncare_pentru_pisici pisici
Midwest Middle
clorurare clorurație
drapel național
Joseph_Banks_Rhine J.
bun_mobiliar mobiliar
ierarh prelat
54 patru
14 C
cască-gură căscată
Samuel lui
Ilich_Sanchez Salim
banda_1 prima_bandă
ghida merge
emotivitate sensibilitate
de șarpe_de_apă
de îngrijitor_de_teren
adulator lingușitor
prinde_cu_lanțuri prinde
adenozin adenozin_difosfat
perniță_pentru_ace perniță
Cascada_Paulo_Afonso Cascada
demonstrație_de_forță demonstrație
fudul plin
boală_endemică boală
excentricitate originalitate
Mercurialis_annua annua
South Wales
arestat domiciliu
Krebs ciclu_al_acidului_tricarboxilic
nemirositoare romaniță_nemirositoare
face generală
ciornă hârtie
barcă_de_pescuit pescuit
legea_închiderii legea
Phaseolus_aureus Vigna_radiata
de mireasă
de personal
săpa tranșee
plăcut simpatic
asculta auzi
aspira aspiratorul
memorie_externă memorie_auxiliară
con chili_con_carne
coccis noadă
fizica fizica_particulelor
Ulysses_Simpson_Grant Ulysses
post televiziune
ca_atare urmare
1_Petru Petru
[se] înrăutăți înăspri
Assat șacalul
bucolic idilic
fertilizator_organic organic
chaenomeles chaenomeles_speciosa
foc foc_de_paie
grele vremuri_de_restriște
echilibrat regulat
geamăt murmur
apel_în_așteptare apel
Masa Rotundă
conexiune conexiune_temporară
citrină vitamină
strip tease
a nouăsprezecea
declarație_de_presă presă
etcetera mai
formă_scrisă formă
ascuțit clar
Foamete Irlandeză
vin_alb vin
anod pol_negativ
curățare curățare_chimică
mai mic
rău_de_înălțime înălțime
sutien_uplift uplift
Papa Papa_Grigorie_cel_Mare
mucezit mucegăit
lupul lupul_vrăbiilor
eroziunea eroziunea_solului
de pomană
șuta_din_voleu șuta
lat mare
avea_grijă fi_atent
ciudat paradoxal
Thunnus galbene
din tăiere
glandă_salivară salivară
Michael_Assat Martinez
civil drept
lat în
dispozitiv_periferic periferic
burniță bură
stânjen_marin stânjen
aparat_de_fotografiat_cu_bliț bliț
fitonadionă filochinonă
sonoră undă_acustică
asupri tiraniza
buzunar în
arătare degetul
neuroștiințe neuroștiințe_cognitive
perioadă_de_latență perioadă_latentă
autoritate ipse_dixit
Imperiul Imperiul_Otoman
autorizație construcție
memorie_intermediară_pentru_cadre pentru
număr rânduri
broasca_Goliath broasca
Pământul Pământul_Basc_și_Libertatea
America ale
bomba bomba_cu_vid
Albă Casa_Albă
bucală cavitate
acosta aborda
congenital înnăscut
donator sânge
descompune în
tencuială tencuială_de_exterior
confirmare validare
prinde_cu_mâța-n_sac sac
Fistulina genus_Fistulina
emisie_infraroșie infraroșie
militar suport_militar
Olanda Regatul
gastric suc
Mrs._Henry_Wood Mrs.
retenție sechestru
lui soția_lui_Lot
de mușuroi
persoană persoană_fermecătoare
arcuș_de_vioară de
bătaie bătaie_în_masă
uniformă_de_lucru uniformă
discrimina distinge
colind colindă
liberă lumea
John_Lennon John
impozit_pe_teren pe
a membru_al_comisiei_de_validare_a_alegerilor
din judecată
cordialitate ospitalitate
Chlamydia psittaci
calitate caracteristică
povestire povestire_de_aventuri
investigații_ale_poliției poliției
binefăcător caritabil
pază pază_de_noapte
antenă_de_interior antenă
stoarce smulge
cu înțelepciune
pe pe_rând
de linie_de_ocolire
considerare socoti
Beta_vulgaris_rubra rubra
genul genul_Eranthis
apă moară_de_apă
merge_înainte progresa
nebunesc smintit
pierdere pierdere_de_vreme
mama mâncare_ca_la_mama_acasă
Iisus_Hristos Nazaret
termina_la_egalitate termina
baza binară
crustă crustă_carbonatică
atentă lectură_atentă
arte belle_arte
piano încet
plex_celiac plex
impasibilitate nepăsare
de greșeală
neîntrecut neasemănat
de zi_de_zi
retarda încetini
fascina încânta
de lemn_de_măslin
facial nerv_facial
K vitamina_K
douăzeci douăzeci_și_șase
familia familia_Engraulidae
desfrânat depravat
jeluială tânguit
politică situație
siderit sideroză
casă nebuni
profetiza prezice
izbi trânti
patrie_mamă țară_de_proveniență
nădușeală pojar
frigare proțap
depresie depresie_neurotică
bambus uriaș
două lei
expeditivitate promptitudine
limbă limbă_de_mare
21_iunie vară
Falls Twin_Falls
spre_interior spre
predare învățare
floră vegetație
agent_imobiliar imobiliar
Cage John
emisferă orient
de teamă
reabilitare reabilitare_fizică
năpârleală năpârlire
aer balon_cu_aer_cald
ieșire_cardiacă ieșire
Imperiul_Otoman Imperiul
de_asemenea fel
funcția funcția_caracteristică
arzător arzător_de_gaze
vorbi încet
de flacără
mașină mașină_sport
piranha pește_piranha
seminom testicular
grozăvenie oroare
dușmănie moarte
notă_muzicală notă
deveni_sticlos deveni
gigas vaca_de_mare_a_lui_Steller
ramificat rămurat
dezlipi desprinde
[se] sili [se] munci
fulgarin impermeabil
cale_ferată_aeriană ferată
fără_branhii fără
industrie în
succesiune succesivitate
acord_scris scris
plecăciune închinăciune
binoculară vedere
leac remediu
corespondență poștă
frâu ține
da liber
Lacul Lacul_Michigan
radiație_gamma rază
animal picior
cerere ipotecare
fotocopie fotografică
militară marțială
boală_de_iradiere de
vaccin_antivariolic vaccin
mărire_de_salariu mărire
organizat ordonat
cizmă_de_cauciuc cizmă
dracului ochiul_dracului
famila famila_Bignoniacee
lady pink
impregnare saturație
discount preț
mere piure_de_mere
ductilitate ductibilitate
Miles Timothy
familia_Peronosporaceae familia
harnică zburătoare
codeală nehotărâre
|se| supune |se| pleca
|se| face |se| face_țăndări
inflexibil neclintit
cortex_cerebral scoarță_cerebrală
citrice fructe_citrice
Republica_Columbia Republica
cel_mai_rapid rapid
fals sperjur
Menziesia genul
laudă_de_sine laudă
de sfert_de_veac
ovul_fecundat ou
gaz_interplanetar interplanetar
Jean Jean_Arp
ștergar șervet
notorietate reputație
intim informal
Statul_Vatican Statul
merge mașina
monetară slovacă
poziției schimbarea_poziției
grup grămadă
depune_o_moțiune moțiune
definitiva finisa
bat mitzvah
cec în
Anigozanthus_manglesii Anigozanthus
rapiță sămânță
a gazelor
deconecta din
George_Herbert_Walker_Bush George_Bush
grăsimi în
da_sub_preț ține
tresărire zvâcnet
coș_de_cumpărături de
sprijini întreține
brâncovenesc stil_brâncovenesc
mediu mediu_academic
împușcătură_în_cap împușcătură
spune spune_minciuni
feroce înverșunat
distanță unitate
West_Point West
deplorabil nenorocit
colosal uriaș
Rege_al_Marii_Britanii Rege_al_Angliei
Quercus_petraea petraea
ușă ușă_cu_zăbrele
de sol
[-și] reveni [se] reface
clasa talpa_țării
da_cu_culoare da
cilindru uretru
din_când_în_când din
impozit impozit_cu_reținere_la_sursă
plăsmuire scornitură
stradă_cu_dublu_sens stradă
bătălia_de_la_Little_Bighorn bătălia
interioară reprezentare
bătălia_de_la_Chalons_sur_Marne de
susul susul_dealului
basculant pod_basculant
oscilare oscilație
amigdalită_streptococică amigdalită
egoist egocentric
chuan t'ai_chi_chuan
ulei_de_parafină ulei
Solandra guttata
Martinez Michael_Assat
drept drept_statutar
cantitate mare
pastă tomate
[o] duce zilele
burtă_de_vacă vacă
scris_de_tipar scris
hazard întâmplare
mânca mânca_tot
angila electricus
descânta meni
trimite trimite_prin_fax
adânc intens
contract_colectiv_de_muncă contract
cuantic teoria_câmpului_cuantic
bun regulă_de_bun_simț
poliță poliță_de_asigurare
luminată rector
boala boala_Von_Economo
fizică sexuală
[se] trudi [se] forța
face stagiar
eliminator eliminatoriu
auspiciu augur
jucător_de_fotbal jucător
bun comitet
apatie indiferență
aparat_de_sablat aparat
chelălăit chelălăială
loc mâncat
coacăză_neagră neagră
sub sub_nicio_formă
da_afară elimina
de lampant
neuroleptic tranchilizant_major
lovi la
Ivry_la_Bataille Ivry
pământului rodul
cumpănă_cu_apă cu
casă_de_păpuși de
aristocrat senior
circuit_de_Formula_1 circuit
electroni fascicol_de_electroni
articulație_scapulohumerală scapulohumerală
trăsătură_vizibilă trăsătură
președintele_SUA președintele_Statelor_Unite_ale_Americii
Cave Rezervația_Naturală_Mammoth_Cave
amănunțit îndeaproape
fără imaginație
căscat mare
apariție început
Raoulia_australis Raoulia
de muncă
principală ușa_principală
automobile fabricant_de_automobile
apă acid_azotic
de doua
face_comandă face
paie păpușă
de hidrofită
glandă mamară
acid carbolic
arunca_claie_peste_grămadă grămadă
subtiliza sustrage
cu_gust gust
[-și] lua_tălpășița tălpășița
până-n_gât plin
de sistem_de_puncte_tipografice
maliție rea
dibuire dibuială
backup fișier_de_siguranță
buzunar_de_la_spate la
