gros subțire
dinadins întâmplător
cu insipid
puțin puternic
expres involuntar
fără imaginativ
minim maximal
meditativ mut
inventiv imaginație
iute încetinel
altă o
decor necuviincios
dăunător nevătămător
neglijent prudent
maxim minimal
grabnic grabă
exterior interior
neegal regulat
de justificabil
arar des
permanent temporar
forte încet
drept la
des rar
intenționat voie
înapoi înainte
expres neintenționat
incredibil verosimil
corect centură
imaginativ imaginație
fără înfricoșat
mai supra
fără grabnic
aval curentului
accidental anume
nesăbuit înțelept
cel cei
ager agale
cinstit sub
cu nesăbuit
agale ager
grabă grăbit
culise pe
interior pe
neobservabil ostentativ
alene vioi
de pe
fără grijă
alene sprinten
indecis totdeauna
emoție emoționant
credibil de
dinadins involuntar
clar ininteligibil
mut meditativ
puternic puțin
folos zadarnic
jos sus
fără modest
cu moderație
public particular
atent voie
mare îngust
imprecis lămurit
opțional obligatoriu
din nefericire
neintenționat special
cei mic
distractiv neplăcut
ingrat recunoscător
cu modestie
nerezonabil potrivit
minimal maxim
just pe
cu imprudent
entuziasm neentuziast
intenționat întâmplător
inofensiv ofensator
sus în
fără meditativ
plângeri plângăcios
cele puțin
dinăuntru dinafară
aval în
arareori frecvent
frumos neatrăgător
rapid încet
agil încetișor
obișnuit remarcabil
cu nesimțitor
nefericit voios
nesimțitor sensibil
normă part-time
impenitent spășit
iute încetișor
repede încetișor
lizibil nedescifrabil
cu part-time
amabil urât
deosebit inseparabil
sărăcăcios scump
vioi încet
cel mai
nerăbdător răbdare
agale vioi
centură cinstit
complet parțial
clar imprecis
credul prevăzător
natural nesigur
aici acolo
cu degeaba
de o
cu zadarnic
nefericit vesel
scump sărăcăcios
parțial total
grijă știință
binișor iute
grijă imprudent
exterior spre
indescifrabil lizibil
rapid încetinel
cel mult
imperfect impecabil
desăvârșit imperfect
benign dăunător
fortissimo pianissimo
convenabil nepotrivit
intenționat involuntar
indirect sincer
cu nerăbdător
niciodată totdeauna
bună involuntar
inobservabil ostentativ
aspru fin
bucuros trist
de involuntar
inconștient responsabil
neobișnuit normal
moderat nerezonabil
ager alene
incredibil plauzibil
involuntar special
drept stânga
arar frecvent
atent fără
cu rușinat
inegal regulat
cele mic
involuntar înadins
amabil necivilizat
dinafară interior
privat public
de maniabil
jos în
explicit implicit
neglijent precaut
